domain,domain_class,cluster_id,cluster_label,scan_tls_ver,scan_cipher,scan_cert_key_type,scan_cert_key_bits,pqc_capable,security_score,quantum_risk_score
1lyfjz.cdn-settings.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
1lyfjz.conversions.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
1lyfjz.dlsdk.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
1lyfjz.gcdsdk.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
1lyfjz.launches.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
1lyfjz.pia.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
1lyfjz.register.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
28bysamwood.com,first_party,1,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
3d4medical.com,first_party,2,quantum-ready,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,True,89.2,1.0
6over6.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
7mfitness.com,first_party,3,modern-classical,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,False,81.2,5.5
7q8vwb-attr.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
7q8vwb-cdn-settings.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
7q8vwb-conversions.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
7q8vwb-dlsdk.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
7q8vwb-gcdsdk.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
7q8vwb-launches.appsflyersdk.com,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
86400.com.au,first_party,0,quantum-ready,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,True,89.2,1.0
aami.com.au,first_party,4,modern-classical,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,False,81.2,5.5
abbott.com,first_party,4,modern-classical,TLSv1.3,TLS_AES_128_GCM_SHA256,RSA,,False,81.2,5.5
about.doctolib.fr,first_party,2,quantum-ready,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,True,89.2,1.0
acala-api.twnodes.com,other_third_party,5,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
acala-evm.twnodes.com,other_third_party,5,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
acemoneytransfer.com,first_party,2,quantum-ready,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,True,89.2,1.0
aci.health.nsw.gov.au,first_party,2,quantum-ready,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,True,89.2,1.0
act.gov.au,first_party,2,quantum-ready,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,True,89.2,1.0
ada.com,first_party,2,quantum-ready,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,True,89.2,1.0
adobe.com,first_party,3,modern-classical,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,False,81.2,5.5
aeternity.twnodes.com,other_third_party,5,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
agetap.com,first_party,3,modern-classical,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,False,81.2,5.5
agoric-api.twnodes.com,other_third_party,5,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
aia.com.au,first_party,3,modern-classical,TLSv1.3,TLS_AES_256_GCM_SHA384,EC-secp256r1,256,False,81.2,5.5
aion.twnodes.com,other_third_party,5,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
airtel.in,first_party,1,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
akash-api.twnodes.com,other_third_party,5,modern-classical,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,RSA,,False,73.8,6.0
