domain,domain_class,matched_rule,associated_apps
1.citibank.com.au,first_party,first_party:com.citibank.mobile.au:declared_domain,com.citibank.mobile.au
192.168.1.1,other_third_party,unmatched,
1lyfjz.cdn-settings.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
1lyfjz.conversions.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
1lyfjz.dlsdk.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
1lyfjz.gcdsdk.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
1lyfjz.launches.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
1lyfjz.pia.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
1lyfjz.register.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,org.iggymedia.periodtracker|com.google.android.apps.walletnfcrel
28bysamwood.com,first_party,first_party:com.samwood28:declared_domain,com.samwood28
3d4medical.com,first_party,first_party:com.a3d4medical.completeanatomy:declared_domain,com.a3d4medical.completeanatomy
6over6.com,first_party,first_party:com.sixoversix.copyglass:declared_domain,com.sixoversix.copyglass
7mfitness.com,first_party,first_party:net.workoutinc.senior_chair_yoga_workout_app:declared_domain,net.workoutinc.senior_chair_yoga_workout_app
7q8vwb-attr.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.revolut.revolut|com.google.android.apps.walletnfcrel
7q8vwb-cdn-settings.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.revolut.revolut|com.google.android.apps.walletnfcrel
7q8vwb-conversions.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.revolut.revolut|com.google.android.apps.walletnfcrel
7q8vwb-dlsdk.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.revolut.revolut|com.google.android.apps.walletnfcrel
7q8vwb-gcdsdk.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.revolut.revolut|com.google.android.apps.walletnfcrel
7q8vwb-launches.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.revolut.revolut|com.google.android.apps.walletnfcrel
82.151.67.232,first_party,first_party:com.tagpay.mwallet.bnm.click:declared_domain,com.tagpay.mwallet.bnm.click
86400.com.au,first_party,first_party:au.com.bank86400:declared_domain,au.com.bank86400
aami.com.au,first_party,first_party:au.com.aami.marketplace:declared_domain,au.com.aami.marketplace
abbott.com,first_party,first_party:com.abbott.crm.ngq.patient.anz:declared_domain,com.abbott.crm.ngq.patient.anz
about.doctolib.fr,first_party,first_party:fr.doctolib.www:declared_domain,fr.doctolib.www
acala-api.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
acala-evm.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
accounts.google.com,google_services,google:google.com,com.brave.browser|com.opera.browser
acemoneytransfer.com,first_party,first_party:com.acemoneytransfer.android:declared_domain,com.acemoneytransfer.android
achanga.com,first_party,first_party:com.wachanga.calories:declared_domain,com.wachanga.calories|com.wachanga.womancalendar
aci.health.nsw.gov.au,first_party,first_party:com.aci.itim.trauma:declared_domain,com.aci.itim.trauma
act.gov.au,first_party,first_party:au.gov.act.health.mydhr:declared_domain,au.gov.act.health.mydhr
ada.com,first_party,first_party:com.ada.app:declared_domain,com.ada.app
adobe.com,first_party,first_party:nz.co.anz.android.mobilebanking:declared_domain,nz.co.anz.android.mobilebanking
aeternity.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
agepay.com.au,first_party,first_party:com.wagepay:declared_domain,com.wagepay
agetap.com,first_party,first_party:com.wagetap:declared_domain,com.wagetap
agoric-api.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
aia.com.au,first_party,first_party:com.aia.gr.rn.au.v2020.vitality:declared_domain,com.aia.gr.rn.au.v2020.vitality
aion.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
airtel.in,first_party,first_party:com.myairtelapp:declared_domain,com.myairtelapp
akash-api.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
akzidf.inapps.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.coinbase.android|com.google.android.apps.walletnfcrel
akzidf.launches.appsflyersdk.com,first_party,first_party:com.google.android.apps.walletnfcrel:package_token:apps,com.coinbase.android|com.google.android.apps.walletnfcrel
alfredimaging.com.au,first_party,first_party:com.zedtechnologies.zedlink.alfredmedicalimaging.patient.android:declared_domain,com.zedtechnologies.zedlink.alfredmedicalimaging.patient.android
algorand.twnodes.com,other_third_party,unmatched,com.wallet.crypto.trustapp
aliavpn.xyz,first_party,first_party:com.technore.xrptunnelplus:declared_domain,com.technore.xrptunnelplus|xyz.xrptunnelplus.vpn
alivecor.com,first_party,first_party:com.alivecor.aliveecg:declared_domain,com.alivecor.aliveecg
alkfit.welltech.com,first_party,first_party:com.walkfit.weightloss.steptracker.pedometer:declared_domain,com.walkfit.weightloss.steptracker.pedometer
allet.bitcoin.com,first_party,first_party:com.bitcoin.mwallet:declared_domain,com.bitcoin.mwallet
allet.coinbase.com,first_party,first_party:org.toshi:declared_domain,org.toshi
alletpasses.me,first_party,first_party:com.superhearing.soundamplifier:declared_domain,com.superhearing.soundamplifier
alletwizard.com.au,first_party,first_party:au.com.walletwizard.ccg.wwapp:declared_domain,au.com.walletwizard.ccg.wwapp
alltrails.com,first_party,first_party:com.alltrails.alltrails:declared_domain,com.alltrails.alltrails
alphaprogression.com,first_party,first_party:com.alphaprogression.alphaprogression:declared_domain,com.alphaprogression.alphaprogression
ambulance.qld.gov.au,first_party,first_party:com.qas.frg.x2015:declared_domain,com.qas.frg.x2015
ambulance.vic.gov.au,first_party,first_party:au.gov.vic.ambulance.cpgpublic:declared_domain,au.gov.vic.ambulance.cpgpublic
americanexpress.com,first_party,first_party:com.americanexpress.android.acctsvcs.au:declared_domain,com.americanexpress.android.acctsvcs.au
amp.com.au,first_party,first_party:au.com.amp.bank.prod:declared_domain,au.com.amp.bank.prod
amplifon.com,first_party,first_party:com.amplifon.mdapp:declared_domain,com.amplifon.mdapp
amtun.xyz,first_party,first_party:com.apnatunnel.lite:declared_domain,com.apnatunnel.lite|com.jm.apnatunnel
anatomy3datlas.com,first_party,first_party:com.catfishanimationstudio.MuscularSystemLite:declared_domain,com.catfishanimationstudio.MuscularSystemLite
