appId,title,genre,tag,score,installs,total_domains,scanned_domains,any_tls13,any_tls12,pqc_capable,pqc_domains,pqc_groups
com.google.android.apps.walletnfcrel,Google Wallet,Finance,finance,4.291328,1000000000,2,2,True,False,True,pay.google.com;policies.google.com,X25519MLKEM768
com.strava,"Strava: Run, Bike, Hike",Health & Fitness,health_fitness,4.481104,50000000,2,2,True,False,True,strava.com;support.strava.com,X25519MLKEM768
com.myfitnesspal.android,MyFitnessPal: Food & Fitness,Health & Fitness,health_fitness,4.452881,100000000,1,1,True,False,True,myfitnesspal.com,X25519MLKEM768
com.alltrails.alltrails,"AllTrails: Hike, Bike & Run",Health & Fitness,health_fitness,4.643866,10000000,1,1,True,False,True,alltrails.com,X25519MLKEM768
org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,Health & Fitness,health_fitness,4.6678987,100000000,1,1,True,False,True,flo.health,X25519MLKEM768
com.google.android.apps.fitness,Google Fit: Activity Tracking,Health & Fitness,health_fitness,3.4538653,100000000,2,2,True,False,True,google.com,X25519MLKEM768
com.hevy,Hevy - Gym Log Workout Tracker,Health & Fitness,health_fitness,4.922353,1000000,5,5,True,False,True,facebook.com;hevyapp.com;instagram.com;iubenda.com;twitter.com,X25519MLKEM768
com.fourtechnologies.mynetdiary.ad,Calorie Counter - MyNetDiary,Health & Fitness,health_fitness,4.778364,5000000,1,1,True,False,False,,x25519
com.cronometer.android.gold,Calorie Counter by Cronometer,Health & Fitness,health_fitness,4.4946237,1000000,1,1,True,False,False,,x25519
com.calm.android,"Calm - Sleep, Meditate, Relax",Health & Fitness,health_fitness,4.309406,50000000,1,1,True,False,True,calm.com,X25519MLKEM768
com.fitbit.FitbitMobile,Fitbit,Health & Fitness,health_fitness,3.8591838,100000000,1,1,True,False,False,,
com.walkfit.weightloss.steptracker.pedometer,Weight Loss Walking: WalkFit,Health & Fitness,health_fitness,4.6167665,10000000,4,4,True,False,True,contact-us.welltech.com;legal.walkfit.pro;legal.walkfit.welltech.com,X25519MLKEM768
com.resmed.myair,myAir™ by Resmed,Medical,medical,3.990099,1000000,2,2,True,False,True,myair.resmed.com,X25519MLKEM768
com.popularapp.periodcalendar,Period Calendar Period Tracker,Health & Fitness,health_fitness,4.879837,100000000,1,1,False,True,False,,
com.everfit,Everfit,Health & Fitness,health_fitness,4.52,100000,1,1,False,True,False,,
com.fitbod.fitbod,Fitbod: Workout & Gym Planner,Health & Fitness,health_fitness,4.66,1000000,1,1,True,False,True,fitbod.me,X25519MLKEM768
com.northcube.sleepcycle,Sleep Cycle: Sleep Tracker,Health & Fitness,health_fitness,4.2894735,10000000,2,2,True,False,True,sleepcycle.com;support.sleepcycle.com,X25519MLKEM768
com.nike.plusgps,Nike Run Club - Running Coach,Health & Fitness,health_fitness,4.2854033,50000000,1,1,True,False,True,nike.com,X25519MLKEM768
de.komoot.android,"komoot - hike, bike & run",Health & Fitness,health_fitness,4.46,10000000,1,1,True,False,True,komoot.com,X25519MLKEM768
com.lyfta,Lyfta: Gym Log Workout Tracker,Health & Fitness,health_fitness,4.78,1000000,1,1,True,False,True,lyfta.app,X25519MLKEM768
com.runtastic.android,adidas Running: Run Tracker,Health & Fitness,health_fitness,4.60989,50000000,2,2,True,False,False,,x25519
com.hrd.iam,I am - Daily affirmations,Health & Fitness,health_fitness,4.7697163,5000000,2,2,True,False,False,,x25519
com.endel.endel,"Endel: Focus, Relax & Sleep",Health & Fitness,health_fitness,4.35,1000000,2,2,True,False,True,endel.io;endel.zendesk.com,X25519MLKEM768
com.inbody2014.inbody,InBody,Health & Fitness,health_fitness,3.2340426,5000000,2,2,True,False,False,,
com.fiton.android,FitOn Workouts & Fitness Plans,Health & Fitness,health_fitness,4.435185,5000000,2,2,False,True,True,app.fitonapp.com,X25519MLKEM768
je.fit,JEFIT Gym Workout Tracker,Health & Fitness,health_fitness,4.3229165,5000000,1,1,False,True,False,,
io.privado.android,PrivadoVPN - VPN App & Proxy,Tools,vpn,3.6101694,1000000,1,1,True,False,True,privadovpn.com,X25519MLKEM768
com.hrd.motivation,Motivation - Daily quotes,Health & Fitness,health_fitness,4.821429,5000000,2,2,True,False,False,,x25519
com.myzone.myzoneble,Myzone,Health & Fitness,health_fitness,4.319672,500000,2,2,True,True,True,myzone.org,X25519MLKEM768
homeworkout.fitness.app,Workout Planner Gym Log・Fit AI,Health & Fitness,health_fitness,4.56,1000000,1,1,True,False,False,,
com.c25k,C25K® Couch to 5K: Run Trainer,Health & Fitness,health_fitness,4.7397957,5000000,2,2,True,False,False,,
com.ins.smarthomemini,INS LifeGuardian,Medical,medical,4.5882354,1000,2,2,True,False,False,,
