domain,domain_class,vantage_point,scan_tls_ver,scan_cipher,scan_cipher_bits,scan_cert_key_type,scan_cert_key_bits,scan_alpn,scan_probe_result,scan_hrr_group,scan_pqc_capable,scan_flag_legacy_tls,scan_flag_rsa_kx,scan_flag_rc4_3des,scan_flag_cert_small,scan_weak_count,scan_weak_labels,scan_weak_refs,mitm_seen,mitm_tls_vers,mitm_ciphers,mitm_pqc_capable,pqc_capable,scan_error
1.citibank.com.au,first_party,Tunisia,,,,,,,error,,False,False,False,False,False,0,,,0,,,False,False,[Errno 11002] getaddrinfo failed
192.168.1.1,other_third_party,Tunisia,,,,,,,,,False,False,False,False,False,0,,,1,,,False,False,
1lyfjz.cdn-settings.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
1lyfjz.conversions.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
1lyfjz.dlsdk.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
1lyfjz.gcdsdk.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
1lyfjz.launches.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
1lyfjz.pia.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
1lyfjz.register.appsflyersdk.com,first_party,France,TLSv1.3,TLS_AES_128_GCM_SHA256,128,RSA,,,hrr_pqc,X25519MLKEM768,True,False,False,False,False,0,,,0,,,False,True,
28bysamwood.com,first_party,Tunisia,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,128,RSA,,,server_hello,,False,False,False,False,False,0,,,0,,,False,False,
